Year,Entity,Sector,Oil Consumption - KTOE
2005,Estonia,Overall,144.04417024935512
2006,Estonia,Overall,150.51809974204642
2007,Estonia,Overall,160.65067927773
2008,Estonia,Overall,152.96622527944967
2009,Estonia,Overall,137.4649011177988
2010,Estonia,Overall,141.70183147033532
2011,Estonia,Overall,138.15
2012,Estonia,Overall,163.79401547721412
2013,Estonia,Overall,161.7050988822012
2014,Estonia,Overall,149.729475494411
2015,Estonia,Overall,149.45354256233878
2016,Estonia,Overall,145.7840928632846
2017,Estonia,Overall,152.14988822012037
2018,Estonia,Overall,150.2560619088564
2019,Estonia,Overall,134.03901977644023
2020,Estonia,Overall,141.25651762682716
2021,Estonia,Overall,146.47307824591573
1965,Europe,Overall,59616.76440240756
1966,Europe,Overall,64945.336199484096
1967,Europe,Overall,70534.76354256233
1968,Europe,Overall,76838.90799656062
1969,Europe,Overall,84496.53482373172
1970,Europe,Overall,93526.018916595
1971,Europe,Overall,98315.33104041273
1972,Europe,Overall,105548.33190025795
1973,Europe,Overall,113059.6388650043
1974,Europe,Overall,111244.27343078247
1975,Europe,Overall,110044.97850386931
1976,Europe,Overall,116025.56319862424
1977,Europe,Overall,116591.90025795357
1978,Europe,Overall,122861.17798796216
1979,Europe,Overall,125679.56147893379
1980,Europe,Overall,121820.47291487532
1981,Europe,Overall,116735.50300945829
1982,Europe,Overall,112669.3981083405
1983,Europe,Overall,109977.14531384352
1984,Europe,Overall,110399.84522785898
1985,Europe,Overall,103934.92691315562
1986,Europe,Overall,106947.85898538263
1987,Europe,Overall,107244.70335339638
1988,Europe,Overall,107209.81943250215
1989,Europe,Overall,107359.38950988822
1990,Europe,Overall,108379.14015477215
1991,Europe,Overall,107024.3981083405
1992,Europe,Overall,102952.31298366294
1993,Europe,Overall,96363.2932072227
1994,Europe,Overall,93518.57265692175
1995,Europe,Overall,92287.33447979363
1996,Europe,Overall,90844.36801375753
1997,Europe,Overall,91316.4230438521
1998,Europe,Overall,92354.80653482373
1999,Europe,Overall,91385.18486672398
2000,Europe,Overall,89977.97936371453
2001,Europe,Overall,91630.43852106621
2002,Europe,Overall,90746.4230438521
2003,Europe,Overall,91718.97678417884
2004,Europe,Overall,92209.81943250215
2005,Europe,Overall,92811.51332760103
2006,Europe,Overall,93684.63456577815
2007,Europe,Overall,91851.97764402408
2008,Europe,Overall,91436.44883920894
2009,Europe,Overall,86976.82717110921
2010,Europe,Overall,86573.51676698195
2011,Europe,Overall,85690.90283748925
2012,Europe,Overall,83479.13155631986
2013,Europe,Overall,81693.96388650042
2014,Europe,Overall,81006.40584694756
2015,Europe,Overall,81278.45227858984
2016,Europe,Overall,83043.27601031815
2017,Europe,Overall,84016.35425623388
2018,Europe,Overall,84318.02235597592
2019,Europe,Overall,84351.11779879621
2020,Europe,Overall,74257.70421324162
2021,Europe,Overall,78139.29492691316
1965,Europe (BP),Overall,42825.18486672399
1966,Europe (BP),Overall,47007.8331900258
1967,Europe (BP),Overall,51027.489251934654
1968,Europe (BP),Overall,56113.09200343938
1969,Europe (BP),Overall,62486.9045571797
1970,Europe (BP),Overall,69268.89939810833
1971,Europe (BP),Overall,72688.6758383491
1972,Europe (BP),Overall,77795.33104041273
1973,Europe (BP),Overall,83361.93465176268
1974,Europe (BP),Overall,78473.00085984523
